,index,age,marital,education,balance,loan,previous,y
37288,38765,37,single,secondary,465,no,0,yes
37292,38769,33,single,tertiary,62,no,0,yes
37337,38814,40,single,secondary,2040,no,2,yes
37367,38844,22,single,secondary,344,no,0,yes
37378,38855,32,single,secondary,230,no,8,yes
37392,38869,33,single,secondary,1277,no,0,yes
37411,38889,29,married,secondary,104,no,0,yes
37433,38912,29,single,secondary,706,no,0,yes
37442,38921,24,single,secondary,174,yes,0,yes
37443,38922,31,single,secondary,360,no,0,yes
37447,38926,31,single,secondary,239,no,1,yes
37448,38927,28,single,secondary,2290,no,0,yes
37449,38928,32,single,tertiary,-770,no,0,yes
37455,38934,24,single,secondary,414,no,1,yes
37470,38949,57,married,secondary,403,no,2,yes
37476,38955,27,single,secondary,513,yes,0,yes
37481,38960,32,single,tertiary,7290,no,0,yes
37488,38968,23,single,secondary,279,no,1,yes
37495,38975,30,single,secondary,5909,no,0,yes
37514,38994,27,single,secondary,-195,no,0,yes
37529,39009,55,married,secondary,3917,no,0,yes
37530,39010,34,married,secondary,243,no,0,yes
37534,39017,28,single,secondary,352,yes,0,yes
37542,39025,25,married,tertiary,-242,yes,4,yes
37556,39039,29,single,tertiary,615,no,0,yes
37566,39050,55,divorced,tertiary,0,no,1,yes
37570,39054,25,single,secondary,217,no,0,yes
37575,39060,25,married,tertiary,839,no,0,yes
37591,39079,36,single,secondary,1015,no,2,yes
37602,39093,25,single,secondary,1119,no,0,yes
37605,39096,32,single,primary,12198,no,0,yes
37607,39099,29,single,tertiary,476,no,0,yes
37611,39104,33,single,tertiary,235,no,0,yes
37612,39106,38,married,tertiary,170,no,0,yes
37613,39107,45,divorced,secondary,-357,yes,2,yes
37627,39122,30,single,secondary,2145,no,0,yes
37640,39136,32,married,primary,-454,yes,2,yes
37658,39154,26,single,primary,-887,no,0,yes
37676,39172,29,single,secondary,306,no,0,yes
37699,39196,25,single,primary,292,yes,0,yes
37712,39209,34,single,tertiary,-578,no,0,yes
37715,39212,33,married,secondary,139,yes,5,yes
37717,39214,32,single,tertiary,2684,no,0,yes
37745,39243,33,single,tertiary,1304,no,0,yes
37753,39251,34,married,primary,-1,no,1,yes
37768,39267,29,married,tertiary,1387,no,0,yes
37810,39310,28,married,secondary,-522,yes,0,yes
37839,39340,38,single,secondary,-242,no,6,yes
37849,39351,35,single,secondary,719,no,3,yes
37856,39358,28,single,secondary,0,yes,0,yes
37858,39360,29,single,tertiary,497,no,6,yes
37859,39361,20,single,secondary,76,no,0,yes
37862,39364,42,married,secondary,366,no,1,yes
37863,39365,45,divorced,secondary,397,yes,2,yes
37865,39367,37,married,tertiary,3723,no,0,yes
37867,39369,32,single,tertiary,1625,no,1,yes
37869,39371,59,married,secondary,106,no,0,yes
37883,39387,29,single,tertiary,265,no,0,yes
37886,39390,37,married,secondary,1543,no,6,yes
37887,39391,59,married,tertiary,2239,no,0,yes
37891,39395,27,divorced,secondary,1977,no,0,yes
37896,39400,39,single,tertiary,0,no,3,yes
37901,39406,43,married,secondary,2145,no,3,yes
37902,39407,39,married,secondary,116,no,0,yes
37907,39412,26,single,secondary,620,no,1,yes
37910,39415,39,single,tertiary,307,no,0,yes
37911,39417,27,single,tertiary,3733,no,6,yes
37913,39419,32,single,secondary,3993,no,0,yes
37915,39421,29,single,tertiary,428,no,0,yes
37918,39424,42,married,primary,5310,no,1,yes
37922,39429,36,married,tertiary,255,no,2,yes
37926,39433,27,single,tertiary,616,no,1,yes
37932,39439,43,single,secondary,733,no,3,yes
37945,39452,28,single,tertiary,2503,no,0,yes
37948,39455,60,divorced,tertiary,439,yes,1,yes
37949,39456,29,single,secondary,590,no,0,yes
37950,39457,35,single,secondary,204,no,0,yes
37951,39458,26,single,tertiary,567,no,0,yes
37952,39460,28,married,tertiary,482,no,0,yes
37956,39464,26,single,tertiary,5169,no,2,yes
37963,39471,36,single,tertiary,1379,no,1,yes
37966,39474,28,single,tertiary,386,no,0,yes
37967,39475,28,single,tertiary,0,no,2,yes
37970,39478,28,single,tertiary,957,no,0,yes
37976,39484,40,married,secondary,312,no,0,yes
37979,39487,24,single,secondary,167,yes,2,yes
37984,39492,56,divorced,tertiary,13094,no,0,yes
37985,39493,34,single,tertiary,5086,no,0,yes
37992,39500,28,single,secondary,707,no,0,yes
37999,39507,37,married,secondary,466,yes,0,yes
38000,39508,32,single,secondary,152,no,0,yes
38002,39510,43,divorced,secondary,1612,no,1,yes
38004,39512,36,married,tertiary,911,yes,3,yes
38008,39516,29,married,tertiary,238,no,1,yes
38009,39517,54,married,secondary,1561,no,2,yes
38010,39518,39,married,secondary,1179,no,0,yes
38011,39519,35,single,secondary,27,no,1,yes
38012,39520,29,single,secondary,6,no,0,yes
38013,39521,32,single,tertiary,654,no,0,yes
38016,39524,27,single,secondary,253,no,0,yes
38017,39525,32,single,tertiary,705,no,4,yes
38019,39527,33,single,tertiary,109,yes,7,yes
38026,39535,24,single,secondary,23878,no,1,yes
38038,39547,58,married,secondary,3399,no,7,yes
38040,39549,43,married,tertiary,79,no,0,yes
38043,39552,26,married,tertiary,243,no,0,yes
38045,39554,31,single,secondary,138,no,2,yes
38055,39565,25,single,tertiary,1317,no,0,yes
38067,39577,58,married,secondary,2714,no,2,yes
38071,39582,34,married,tertiary,23076,no,6,yes
38072,39583,48,divorced,tertiary,17964,no,3,yes
38084,39597,60,married,tertiary,846,no,0,yes
38091,39605,25,single,tertiary,326,no,0,yes
38095,39609,26,single,secondary,100,no,0,yes
38112,39629,25,single,secondary,304,no,0,yes
38113,39630,26,single,tertiary,39,no,0,yes
38129,39647,32,single,tertiary,312,no,2,yes
38132,39650,25,married,tertiary,906,no,0,yes
38133,39651,21,single,secondary,524,no,0,yes
38137,39655,41,single,tertiary,1081,no,0,yes
38141,39659,30,single,secondary,983,no,0,yes
38143,39662,47,divorced,secondary,2232,no,1,yes
38144,39663,37,married,secondary,1967,no,1,yes
38146,39665,34,married,secondary,1406,no,0,yes
38153,39672,28,single,secondary,157,no,0,yes
38156,39675,24,single,tertiary,0,no,0,yes
38157,39677,26,single,secondary,2509,no,3,yes
38166,39686,32,married,secondary,10287,no,1,yes
38168,39689,30,single,tertiary,5359,no,1,yes
38169,39690,54,single,tertiary,384,yes,0,yes
38173,39694,35,married,secondary,1368,no,2,yes
38176,39697,54,divorced,tertiary,3076,no,0,yes
38180,39702,44,married,tertiary,7818,no,0,yes
38182,39704,56,single,secondary,4118,no,0,yes
38192,39714,25,single,tertiary,760,no,2,yes
38201,39724,43,married,secondary,132,no,1,yes
38205,39729,50,married,tertiary,253,no,0,yes
38216,39741,25,single,secondary,7103,no,1,yes
38227,39752,55,married,secondary,602,no,2,yes
38229,39754,57,married,tertiary,473,no,0,yes
38233,39758,48,married,tertiary,1167,yes,0,yes
38236,39761,25,single,tertiary,343,no,0,yes
38237,39762,49,married,tertiary,1808,no,1,yes
38238,39763,25,single,secondary,1199,no,0,yes
38241,39766,38,divorced,secondary,70,no,0,yes
38247,39773,45,married,secondary,1723,no,0,yes
38248,39774,33,married,tertiary,1323,no,0,yes
38249,39775,45,married,tertiary,2552,no,7,yes
38253,39779,46,single,secondary,5862,no,0,yes
38254,39780,26,single,secondary,2613,no,0,yes
38260,39786,49,married,secondary,0,no,0,yes
38261,39787,25,single,secondary,938,no,0,yes
38262,39788,53,married,secondary,284,no,0,yes
38264,39790,43,married,tertiary,1059,yes,0,yes
38265,39791,49,married,secondary,1684,yes,0,yes
38266,39792,54,married,tertiary,534,no,0,yes
38267,39793,47,married,secondary,293,no,1,yes
38273,39799,34,married,secondary,262,no,0,yes
38284,39811,54,divorced,secondary,0,no,2,yes
38286,39813,43,divorced,tertiary,2367,no,2,yes
38289,39816,23,single,secondary,31,no,0,yes
38290,39817,48,married,tertiary,3842,no,0,yes
38291,39818,30,single,tertiary,3343,no,0,yes
38292,39819,38,single,tertiary,25,no,0,yes
38293,39820,38,single,secondary,804,no,0,yes
38295,39823,52,single,secondary,-528,yes,0,yes
38298,39826,27,single,tertiary,1840,no,8,yes
38307,39835,40,married,secondary,1451,no,0,yes
38312,39840,47,married,tertiary,2351,no,1,yes
38317,39846,54,divorced,secondary,1664,no,0,yes
38318,39847,26,single,tertiary,1623,no,0,yes
38320,39849,37,married,secondary,597,no,0,yes
38322,39851,37,married,secondary,0,no,0,yes
38323,39852,34,married,tertiary,611,no,0,yes
38326,39856,26,single,tertiary,313,yes,2,yes
38329,39859,44,married,tertiary,1954,no,0,yes
38333,39863,29,single,tertiary,307,no,0,yes
38335,39865,26,married,secondary,915,no,0,yes
38336,39866,40,single,tertiary,7968,no,0,yes
38337,39867,47,married,tertiary,1147,no,1,yes
38342,39872,43,married,secondary,2160,no,0,yes
38344,39874,52,divorced,secondary,1005,no,0,yes
38345,39875,38,married,tertiary,1988,no,4,yes
38349,39879,33,divorced,secondary,1117,no,0,yes
38350,39881,50,married,secondary,3370,no,0,yes
38353,39884,53,married,secondary,109,no,0,yes
38355,39886,57,married,primary,3376,no,0,yes
38357,39888,39,married,secondary,1587,no,0,yes
38358,39889,42,married,secondary,1376,no,4,yes
38364,39895,49,married,tertiary,523,no,3,yes
38365,39896,27,single,tertiary,15161,no,1,yes
38368,39899,32,married,tertiary,653,no,0,yes
38374,39905,38,married,secondary,5115,no,7,yes
38377,39908,31,single,tertiary,64,no,0,yes
38379,39910,29,single,secondary,1165,no,0,yes
38382,39913,49,married,secondary,7019,no,3,yes
38389,39920,46,married,secondary,1568,no,6,yes
38390,39921,57,married,primary,3109,no,0,yes
38394,39925,28,single,tertiary,4987,no,21,yes
38399,39931,37,married,tertiary,189,no,0,yes
38405,39937,38,married,secondary,2467,no,0,yes
38407,39939,49,married,tertiary,5887,no,2,yes
38410,39942,35,married,tertiary,1354,no,0,yes
38415,39947,54,married,primary,2587,no,0,yes
38419,39951,29,married,secondary,23,no,2,yes
38420,39952,52,married,secondary,0,no,0,yes
38421,39953,34,married,secondary,978,no,1,yes
38422,39954,60,married,secondary,294,no,0,yes
38423,39955,32,married,secondary,409,no,2,yes
38425,39957,40,single,secondary,595,no,0,yes
38426,39958,54,married,tertiary,990,no,0,yes
38427,39959,27,single,secondary,261,yes,0,yes
38429,39961,55,married,secondary,27624,no,0,yes
38434,39966,29,single,tertiary,3846,no,0,yes
38436,39968,42,married,secondary,2913,no,1,yes
38438,39970,33,divorced,tertiary,2240,no,0,yes
38440,39972,34,married,tertiary,127,no,0,yes
38441,39973,52,divorced,tertiary,2104,no,0,yes
38443,39975,29,married,primary,5,no,0,yes
38444,39976,39,married,secondary,150,no,0,yes
38446,39978,31,single,tertiary,882,no,0,yes
38447,39979,60,divorced,tertiary,366,no,0,yes
38450,39982,25,single,tertiary,1189,no,0,yes
38452,39984,45,married,secondary,204,no,0,yes
38454,39986,29,single,tertiary,637,no,1,yes
38456,39988,55,divorced,tertiary,2383,no,0,yes
38458,39990,26,single,secondary,1231,no,5,yes
38464,39996,30,single,tertiary,3340,no,0,yes
38465,39997,54,divorced,secondary,200,no,0,yes
38473,40005,39,single,tertiary,48,no,0,yes
38480,40012,42,married,tertiary,576,no,1,yes
38486,40018,26,single,tertiary,2786,no,1,yes
38487,40019,57,married,secondary,5313,no,0,yes
38491,40023,39,married,tertiary,201,no,1,yes
38493,40025,40,married,secondary,694,no,9,yes
38499,40031,25,single,secondary,389,no,0,yes
38501,40033,43,married,primary,3917,no,1,yes
38502,40034,36,divorced,secondary,3158,no,0,yes
38503,40035,25,single,tertiary,362,no,0,yes
38504,40036,39,married,tertiary,1293,no,0,yes
38507,40039,32,married,secondary,889,no,3,yes
38515,40047,43,divorced,tertiary,481,no,1,yes
38517,40049,50,divorced,tertiary,810,no,0,yes
38521,40053,35,married,secondary,52,no,4,yes
38522,40054,37,married,tertiary,108,yes,0,yes
38523,40055,42,married,tertiary,2665,no,11,yes
38524,40056,42,single,secondary,684,no,0,yes
38528,40060,27,married,secondary,2071,no,0,yes
38529,40061,27,single,secondary,339,no,0,yes
38531,40063,29,single,tertiary,572,no,0,yes
38533,40065,29,single,secondary,1779,no,0,yes
38535,40067,26,single,secondary,132,no,0,yes
38536,40068,39,single,tertiary,22086,no,0,yes
38538,40070,41,married,secondary,0,yes,2,yes
38539,40071,29,married,tertiary,205,no,0,yes
38540,40072,33,single,tertiary,317,no,14,yes
38542,40074,32,married,tertiary,4945,no,2,yes
38544,40076,43,married,tertiary,2987,no,3,yes
38545,40077,30,married,tertiary,419,no,0,yes
38547,40079,38,single,secondary,1130,no,1,yes
38548,40080,55,married,secondary,1662,no,0,yes
38549,40081,25,single,secondary,1871,no,0,yes
38550,40082,38,divorced,secondary,1190,no,3,yes
38551,40083,41,divorced,tertiary,3426,no,3,yes
38552,40084,31,married,secondary,447,no,3,yes
38553,40085,35,married,secondary,563,yes,3,yes
38554,40086,31,married,secondary,6,no,0,yes
38555,40087,25,single,secondary,594,no,0,yes
38561,40093,31,single,tertiary,617,no,2,yes
38565,40097,34,married,secondary,2918,yes,2,yes
38569,40101,27,single,secondary,538,no,0,yes
38570,40102,30,single,tertiary,3384,no,0,yes
38571,40103,34,single,secondary,303,no,3,yes
38576,40108,40,single,secondary,985,no,8,yes
38579,40112,57,divorced,tertiary,126,no,0,yes
38585,40119,46,married,secondary,974,no,1,yes
38588,40122,27,married,secondary,897,no,0,yes
38590,40124,28,single,secondary,171,no,1,yes
38593,40127,28,single,secondary,1633,no,0,yes
38594,40128,35,divorced,secondary,1085,no,7,yes
38595,40129,58,married,primary,1980,no,0,yes
38596,40130,57,married,tertiary,1227,no,0,yes
38597,40131,44,married,tertiary,1933,no,0,yes
38598,40132,25,single,secondary,801,no,0,yes
38604,40138,57,married,secondary,1841,no,0,yes
38605,40139,25,single,tertiary,42,no,1,yes
38606,40140,21,single,secondary,794,no,0,yes
38608,40142,49,married,secondary,905,no,0,yes
38609,40143,54,married,tertiary,8295,no,0,yes
38610,40144,59,married,primary,0,no,0,yes
38612,40146,28,single,tertiary,874,no,0,yes
38615,40149,37,married,secondary,4321,no,0,yes
38617,40152,30,single,tertiary,0,no,0,yes
38618,40153,35,single,tertiary,471,no,0,yes
38622,40157,35,single,primary,745,no,0,yes
38628,40163,31,single,tertiary,924,no,1,yes
38631,40166,41,single,primary,216,no,0,yes
38634,40169,55,divorced,tertiary,9756,no,1,yes
38635,40170,30,single,tertiary,1159,no,0,yes
38636,40171,28,single,tertiary,3290,no,0,yes
38637,40172,31,married,secondary,1766,yes,0,yes
38640,40175,31,single,secondary,582,no,0,yes
38642,40177,53,divorced,tertiary,380,yes,0,yes
38647,40182,57,married,tertiary,256,no,1,yes
38648,40183,22,single,secondary,682,no,1,yes
38649,40184,36,married,primary,92,no,0,yes
38650,40185,33,single,secondary,66,no,0,yes
38660,40196,37,single,tertiary,0,no,1,yes
38663,40199,46,married,secondary,3434,yes,1,yes
38664,40200,31,single,tertiary,252,no,0,yes
38667,40203,49,married,tertiary,6574,no,0,yes
38668,40205,34,married,secondary,294,no,0,yes
38670,40207,35,married,primary,1177,no,0,yes
38671,40208,35,married,tertiary,925,no,0,yes
38675,40212,32,single,tertiary,8866,no,2,yes
38680,40217,50,married,secondary,3357,no,0,yes
38681,40218,36,divorced,tertiary,3407,no,4,yes
38682,40219,31,single,tertiary,5205,no,0,yes
38683,40220,41,married,tertiary,254,no,2,yes
38685,40222,25,single,tertiary,3630,no,0,yes
38689,40226,24,single,tertiary,1506,no,4,yes
38691,40228,42,married,tertiary,4216,no,0,yes
38694,40231,25,single,tertiary,12,no,0,yes
38696,40233,60,married,secondary,544,no,2,yes
38706,40244,40,single,tertiary,10346,no,1,yes
38707,40245,50,married,tertiary,1612,no,2,yes
38709,40247,34,married,tertiary,1539,no,1,yes
38711,40249,31,single,secondary,131,no,0,yes
38715,40253,32,single,tertiary,718,no,0,yes
38719,40257,60,married,secondary,3547,no,0,yes
38720,40258,32,married,secondary,914,no,0,yes
38722,40260,52,married,secondary,1306,no,0,yes
38725,40264,59,married,secondary,259,no,1,yes
38728,40267,56,married,secondary,-1206,no,0,yes
38731,40270,47,single,tertiary,372,no,0,yes
38735,40274,43,married,tertiary,3518,no,0,yes
38736,40275,25,single,secondary,505,no,0,yes
38737,40276,35,single,tertiary,71,no,0,yes
38738,40277,31,single,secondary,1776,no,1,yes
38739,40278,27,single,tertiary,20585,no,0,yes
38740,40279,26,married,secondary,1595,no,1,yes
38743,40282,37,single,tertiary,1000,no,1,yes
38750,40289,27,single,tertiary,138,no,0,yes
38754,40294,49,married,tertiary,561,no,0,yes
38758,40298,26,single,tertiary,170,no,0,yes
38760,40301,28,single,tertiary,502,no,0,yes
38761,40302,33,married,secondary,379,yes,0,yes
38765,40308,28,single,secondary,136,no,0,yes
38779,40323,32,married,secondary,689,yes,0,yes
38782,40326,27,single,secondary,246,no,0,yes
38785,40330,59,married,secondary,3735,no,6,yes
38789,40334,30,single,tertiary,8535,no,0,yes
38792,40337,30,single,secondary,2567,no,0,yes
38794,40339,34,married,tertiary,443,no,0,yes
38797,40342,38,single,tertiary,605,no,0,yes
38799,40344,58,married,primary,2074,no,0,yes
38800,40345,34,married,tertiary,2374,yes,2,yes
38801,40346,26,single,secondary,1347,no,5,yes
38802,40347,59,married,primary,3648,no,0,yes
38804,40349,49,single,tertiary,7443,no,2,yes
38805,40350,28,single,tertiary,442,no,3,yes
38810,40355,57,married,tertiary,10583,no,0,yes
38818,40363,83,married,primary,425,no,1,yes
38821,40366,61,married,tertiary,997,no,1,yes
38825,40370,64,married,secondary,5966,no,0,yes
38828,40373,37,married,secondary,2061,yes,3,yes
38830,40375,68,married,secondary,0,no,0,yes
38834,40379,58,married,secondary,4348,no,1,yes
38838,40383,71,married,tertiary,2887,no,0,yes
38841,40386,54,married,tertiary,1464,no,0,yes
38847,40392,37,married,tertiary,1315,no,0,yes
38848,40394,44,married,tertiary,2383,no,0,yes
38850,40396,37,married,tertiary,1649,yes,0,yes
38855,40401,72,married,tertiary,132,no,1,yes
38856,40402,78,divorced,primary,2787,no,0,yes
38857,40403,26,single,tertiary,0,yes,0,yes
38858,40404,69,divorced,primary,482,no,0,yes
38859,40405,41,married,secondary,203,no,0,yes
38861,40408,44,married,secondary,88,no,0,yes
38863,40411,32,single,secondary,2881,no,0,yes
38864,40412,79,married,secondary,668,no,0,yes
38865,40413,33,married,secondary,73,no,0,yes
38866,40414,45,married,tertiary,1309,no,0,yes
38869,40417,40,married,tertiary,2763,no,2,yes
38871,40419,30,single,tertiary,536,no,0,yes
38873,40421,42,married,secondary,2959,no,1,yes
38874,40422,30,single,secondary,930,no,0,yes
38886,40434,28,single,tertiary,12956,no,3,yes
38888,40436,58,divorced,secondary,0,no,0,yes
38889,40437,28,single,tertiary,9314,no,0,yes
38890,40438,39,divorced,secondary,19,no,5,yes
38891,40439,31,married,secondary,625,no,3,yes
38892,40441,56,married,primary,1137,no,0,yes
38893,40442,46,divorced,tertiary,1329,no,0,yes
38894,40443,56,married,secondary,1044,no,0,yes
38895,40444,27,single,secondary,302,no,0,yes
38897,40446,30,married,tertiary,330,no,1,yes
38898,40447,26,single,tertiary,2857,no,0,yes
38900,40449,35,single,primary,68,no,0,yes
38902,40451,52,married,primary,1524,no,0,yes
38904,40453,54,married,secondary,1633,no,0,yes
38907,40456,25,single,secondary,285,no,0,yes
38908,40457,41,married,primary,0,no,1,yes
38910,40459,24,single,tertiary,507,no,0,yes
38912,40461,35,single,tertiary,0,no,0,yes
38920,40472,28,single,secondary,643,no,0,yes
38925,40477,62,married,tertiary,2785,no,0,yes
38926,40478,52,married,secondary,137,no,0,yes
38927,40479,23,single,secondary,870,no,0,yes
38928,40481,82,married,primary,8603,no,0,yes
38933,40486,63,married,secondary,18016,no,0,yes
38935,40488,32,married,secondary,51,yes,0,yes
38936,40489,31,married,tertiary,1032,no,0,yes
38937,40490,48,married,secondary,2892,no,1,yes
38942,40495,37,married,secondary,981,no,1,yes
38944,40497,40,single,tertiary,431,no,0,yes
38949,40502,66,married,secondary,203,no,0,yes
38951,40504,37,married,tertiary,3737,no,0,yes
38953,40506,38,married,primary,7005,no,1,yes
38956,40509,27,single,secondary,111,no,0,yes
38959,40513,58,married,primary,565,no,0,yes
38960,40514,49,married,primary,889,no,0,yes
38962,40516,51,married,secondary,6840,no,0,yes
38967,40521,31,single,secondary,202,no,1,yes
38968,40522,31,single,tertiary,307,no,2,yes
38969,40524,79,married,primary,429,no,0,yes
38971,40526,71,married,tertiary,4388,no,0,yes
38973,40528,52,married,tertiary,2557,no,1,yes
38986,40543,46,married,secondary,922,no,0,yes
38989,40546,28,single,tertiary,3796,no,0,yes
38995,40552,24,single,secondary,9883,no,0,yes
38998,40555,22,single,secondary,185,no,0,yes
39000,40557,49,single,tertiary,151,no,0,yes
39006,40564,19,single,primary,103,no,0,yes
39008,40566,34,single,primary,79,no,0,yes
39011,40569,73,married,tertiary,1609,no,0,yes
39012,40570,27,single,tertiary,2489,no,2,yes
39016,40574,59,divorced,primary,989,no,0,yes
39025,40583,25,single,tertiary,58,no,0,yes
39031,40590,42,single,tertiary,11008,no,1,yes
39035,40594,28,single,tertiary,5474,no,0,yes
39037,40596,46,divorced,secondary,2196,no,0,yes
39049,40609,25,single,tertiary,219,no,1,yes
39050,40610,28,married,tertiary,1240,no,0,yes
39051,40611,61,married,secondary,569,no,0,yes
39052,40613,52,married,secondary,1228,yes,0,yes
39054,40615,57,married,tertiary,1660,no,0,yes
39055,40616,49,divorced,tertiary,914,no,0,yes
39056,40617,33,married,tertiary,1699,no,0,yes
39057,40618,47,married,secondary,1167,no,6,yes
39061,40622,68,married,secondary,19317,no,0,yes
39063,40624,40,single,tertiary,1646,no,5,yes
39064,40625,46,married,tertiary,242,no,1,yes
39068,40629,29,single,secondary,382,no,0,yes
39069,40630,55,divorced,tertiary,2383,no,2,yes
39070,40631,30,married,tertiary,2666,no,4,yes
39071,40632,49,divorced,secondary,1718,yes,0,yes
39073,40634,48,married,tertiary,1147,no,2,yes
39074,40635,21,single,secondary,216,no,0,yes
39075,40636,45,married,secondary,153,no,0,yes
39079,40640,43,married,tertiary,1791,no,0,yes
39081,40642,47,single,tertiary,86,no,4,yes
39082,40643,27,single,tertiary,6791,no,26,yes
39086,40648,47,married,secondary,3940,no,2,yes
39088,40650,37,single,tertiary,1291,no,2,yes
39089,40651,36,married,tertiary,495,no,2,yes
39091,40653,61,married,tertiary,175,no,0,yes
39094,40656,53,married,tertiary,1624,no,6,yes
39096,40658,61,married,tertiary,3140,yes,1,yes
39106,40668,57,single,secondary,0,no,0,yes
39108,40670,40,married,tertiary,0,no,6,yes
39110,40672,53,divorced,secondary,0,yes,2,yes
39112,40676,73,married,primary,5539,no,0,yes
39115,40680,67,married,tertiary,701,no,0,yes
39116,40681,66,married,tertiary,3,no,0,yes
39118,40683,67,married,tertiary,405,no,0,yes
39120,40685,57,married,secondary,168,no,0,yes
39121,40686,38,married,tertiary,4297,no,0,yes
39123,40689,56,divorced,tertiary,10532,no,0,yes
39124,40690,46,married,tertiary,4693,yes,2,yes
39130,40696,32,married,secondary,1536,no,0,yes
39131,40697,69,married,secondary,9064,no,0,yes
39132,40698,32,single,secondary,6983,no,0,yes
39133,40699,72,married,tertiary,2,no,0,yes
39135,40701,41,married,tertiary,1536,no,2,yes
39136,40702,72,married,primary,1612,no,0,yes
39138,40705,33,married,secondary,1211,no,0,yes
39139,40706,37,married,secondary,96,no,2,yes
39140,40707,26,single,tertiary,390,no,0,yes
39142,40710,77,married,secondary,638,no,0,yes
39150,40718,34,married,tertiary,0,no,2,yes
39151,40719,44,single,secondary,1534,no,2,yes
39155,40723,42,single,secondary,3403,no,1,yes
39156,40724,58,married,secondary,687,no,2,yes
39159,40728,34,married,tertiary,7050,no,0,yes
39162,40731,55,divorced,secondary,538,no,0,yes
39163,40732,71,married,primary,2600,no,0,yes
39164,40733,41,married,tertiary,2226,no,1,yes
39165,40734,23,single,secondary,0,no,7,yes
39166,40735,60,single,tertiary,1034,no,0,yes
39179,40749,54,married,secondary,10185,no,2,yes
39181,40752,32,single,tertiary,935,no,5,yes
39185,40757,59,divorced,tertiary,3444,no,2,yes
39188,40761,32,single,tertiary,1815,no,2,yes
39190,40763,61,divorced,tertiary,52587,no,0,yes
39204,40777,31,married,tertiary,10884,no,2,yes
39206,40779,30,single,tertiary,697,no,2,yes
39208,40781,23,single,tertiary,0,no,0,yes
39218,40793,42,married,primary,201,no,3,yes
39222,40800,42,single,tertiary,94,no,4,yes
39227,40807,70,divorced,primary,1311,no,0,yes
39228,40808,57,married,secondary,589,no,5,yes
39229,40809,60,married,secondary,1853,no,0,yes
39230,40810,53,divorced,primary,4401,no,0,yes
39232,40812,48,divorced,secondary,201,no,0,yes
39233,40813,30,single,tertiary,533,no,4,yes
39235,40815,61,married,tertiary,2557,no,1,yes
39240,40820,39,single,tertiary,3840,no,0,yes
39244,40824,42,married,secondary,994,no,5,yes
39245,40825,26,single,secondary,96,no,3,yes
39248,40828,46,married,tertiary,1600,yes,0,yes
39249,40829,40,single,secondary,100,no,1,yes
39253,40833,39,married,secondary,260,no,2,yes
39255,40835,58,married,primary,1013,no,1,yes
39259,40840,42,married,secondary,413,no,0,yes
39271,40853,60,married,primary,631,no,0,yes
39272,40854,32,single,tertiary,3283,no,2,yes
39275,40857,44,divorced,tertiary,1070,no,3,yes
39279,40861,31,single,secondary,181,no,1,yes
39280,40862,32,married,secondary,484,no,1,yes
39281,40863,21,single,secondary,123,no,0,yes
39283,40865,35,single,tertiary,353,no,0,yes
39286,40869,36,single,tertiary,3850,no,4,yes
39289,40872,75,married,primary,2970,no,0,yes
39290,40873,20,single,primary,6991,no,0,yes
39291,40874,36,married,tertiary,29,no,0,yes
39293,40876,57,single,secondary,2223,no,0,yes
39295,40878,41,married,tertiary,27696,no,1,yes
39296,40879,59,married,secondary,116,no,3,yes
39301,40884,36,married,tertiary,2987,no,0,yes
39303,40886,61,single,tertiary,2,no,3,yes
39304,40887,18,single,primary,608,no,0,yes
39306,40889,51,divorced,secondary,1679,no,9,yes
39310,40893,34,single,tertiary,48,no,6,yes
39319,40902,55,married,primary,113,no,3,yes
39321,40904,58,divorced,secondary,462,no,0,yes
39325,40908,33,single,secondary,498,no,1,yes
39334,40917,43,married,tertiary,2643,no,5,yes
39340,40925,34,married,secondary,1337,no,1,yes
39356,40942,43,single,secondary,451,no,0,yes
39361,40947,74,married,primary,0,no,0,yes
39362,40948,45,divorced,primary,11,no,0,yes
39366,40952,38,married,secondary,1165,no,10,yes
39368,40954,77,married,tertiary,699,no,0,yes
39372,40958,32,single,tertiary,2465,no,0,yes
39375,40961,29,single,tertiary,41,no,0,yes
39378,40964,31,married,secondary,35,no,1,yes
39381,40968,36,married,tertiary,341,no,0,yes
39382,40969,50,married,secondary,3169,no,1,yes
39384,40971,44,divorced,secondary,14,no,0,yes
39392,40979,60,married,secondary,523,no,0,yes
39395,40982,23,single,secondary,431,no,0,yes
39397,40984,56,married,tertiary,616,no,2,yes
39400,40987,76,married,primary,3324,no,1,yes
39411,40998,33,married,secondary,227,yes,0,yes
39413,41000,28,single,secondary,113,no,1,yes
39427,41014,34,single,tertiary,13014,no,0,yes
39429,41016,56,married,primary,9367,no,2,yes
39433,41020,45,single,tertiary,2067,no,1,yes
39434,41021,36,single,secondary,376,no,0,yes
39435,41022,57,single,tertiary,842,no,0,yes
39443,41030,49,married,tertiary,1235,no,0,yes
39445,41032,49,married,tertiary,1,no,4,yes
39448,41035,37,married,secondary,775,no,0,yes
39451,41038,37,married,tertiary,1276,no,0,yes
39452,41039,35,single,tertiary,18111,no,0,yes
39460,41047,46,single,tertiary,44,no,0,yes
39461,41048,26,single,secondary,255,no,2,yes
39465,41052,47,married,secondary,926,no,5,yes
